date,avg_temperature,humidity,rainfall,wind_speed,pressure,solar_radiation,rainy_days,dengue_cases
2000-01-31,28.993428306022466,65.86189037906745,64.92507035754406,6.175545161129332,1011.3103340454336,164.33727374026188,21,122
2000-02-29,27.72347139765763,63.65987441170401,43.600445267438545,2.8613610382005663,1000.2521914112282,193.09739448793988,7,95
2000-03-31,29.295377076201383,82.27505873402728,90.98093454920792,5.540103475024198,1008.2457528496176,288.63916993869015,17,193
2000-04-30,31.04605971281605,84.72665042704153,97.86656347339967,3.8097076291221645,998.9082611997446,286.3462849507649,7,225
2000-05-31,27.531693250553328,61.105515068897475,43.60828645087864,4.8471987535002015,1016.848505538271,141.37437508445757,20,98
2000-06-30,27.53172608610164,92.76742861852915,173.87282957564076,6.8069671826019755,1004.5697270894095,171.64380824861456,19,371
2000-07-31,31.158425631014783,61.81899492780153,84.71657799718461,7.706932684217511,1016.2770180472995,129.87987769075445,15,173
2000-08-31,29.534869458305817,78.94537173553746,45.45992282798641,3.090022218112088,1014.7293482184207,201.9970158626994,22,105
2000-09-30,27.061051228130097,84.81711818078207,18.837107816017422,4.64792824582258,1005.4970482373197,192.11651013893334,19,57
2000-10-31,29.08512008717193,90.483919331113,101.79290417720857,3.4224541389246625,1004.3360752436613,280.1520324901465,9,214
2000-11-30,27.073164614375074,84.99304262463497,120.67360103204949,2.787684524756822,1011.7518510819317,286.00107555821455,20,262
2000-12-31,27.068540492859487,88.06048290744272,55.87931774473787,8.050484979962546,1005.7783798140847,176.71347820145843,20,138
2001-01-31,28.48392454313207,71.88075673899822,93.17245529084055,9.183274249932932,1010.512423210791,198.34758860379787,21,204
2001-02-28,24.173439510684403,88.51887898112793,236.73376841835014,4.3320896711611905,1007.5858620459654,279.24724982922663,13,503
2001-03-31,24.550164334973935,62.80401962346363,155.6641352172367,7.761510319363902,1001.0942079276718,261.3415615490123,7,332
2001-04-30,26.875424941518055,91.31858296211847,7.313943697950305,9.0729576042797,998.8476599043777,100.73126226892985,24,46
2001-05-31,25.974337759331153,79.16573316538077,44.99836316627041,8.615117894772084,1011.133421242473,164.0119128367165,17,110
2001-06-30,28.628494665190548,88.60542194868728,75.1446286346294,2.6453204968530333,1007.1922112683469,184.35484838722516,7,151
2001-07-31,26.183951848957577,75.83113995814051,88.39318900886886,9.606626933620252,1007.2345509154294,145.94325673664633,11,176
2001-08-31,25.175392597329417,82.52521933187838,94.70090030574984,4.390087963865162,1013.479319195469,139.91432317918776,10,202
2001-09-30,30.931297537843108,78.42409313276396,115.2394870212498,4.0531659505645266,1015.8672113831623,107.55690131913593,13,236
2001-10-31,27.54844739902693,85.60563326143662,77.1301158876744,1.561881945500023,1008.637276393191,228.6739450139521,16,182
2001-11-30,28.13505640937585,62.85704937107064,84.55600267426006,5.375562886943947,1008.2970064654506,152.50205809663314,19,144
2001-12-31,25.150503627573087,62.11232293966973,161.2412695368916,1.9811225407683584,1012.5007151655694,110.46943568626261,24,320
2002-01-31,26.911234550949636,68.64861319035512,103.27507728504182,3.236858388346834,1003.2153221515022,146.19586210561272,7,209
